8,can you watch home and away in the northern territory and what channel?,can you watch home and away in northern territory,I assume so. On network 7
10,"what does it mean in a will when it says ""i direct that all my just debts to be paid by me executrix""?",I am listed as the executrix and if this means have I will have to pay the debts I wont be able to since I have no money to do so. I am also listed in the will.,"No, no. I'm a lawyer and remember this from my Wills & Trusts class :)  Here you go: It means that the person who is DECEASED (the dead peerson) directs YOU to pay his/her ""just debts""- that is, the debts that they owe out of THEIR money- NOT yours. If anything, an executrix gets a small percentage of the total estate! My friend got 3% of a $500,000 estate when her mother died last year- about $13,000. So, again, this means you pay the dead person's debts with THEIR money before the gifts in the will are passed to the heirs. This prevents a dead person from forgetting about their financial responsibilities- right? :) Hope that helps!"
10,"Paton believed in reincarnation, what did he think he had done before?",George S. Paton,"Actually - he did not.\\n\\nThis was just some BS that was put in the movie.\\n\\nThe truth of the matter is that when Patton made his ""I was there"" comments he was referring to a sabbatical he had taken a decade before where he had done 'terrain walks' on most of Europe's famous battlefields."
1,Thanksgiving songs???,"I am looking for holiday songs, specifically for Thanksgiving. Any help would be appreciated.","""We Gather Together""  and ""Come Ye Thankful People Come"" are old hymns usually associated with Thanksgiving.  Another well-known holiday song is ""Over the River and Through the Woods.""  However, there are sites on the Internet that can give you even more up to date suggestions.  The songs listed above are the songs I grew up with."
1,"do nazi's and or any other racist ""white"" groups hate sicilians?",I was just wondering because alot of people tell me sicilian is white and if they were wouldnt the nazi's and kkk and  stuff like them and accept them? dumb question but i have aways been curious about this,i don't hell i am part Italian
10,"Everyone wants to bad mouth Bush, yes he is not perfect but what other country's leader would you want ......","to trade him in for?\\n\\n\\nA lot of evil, crazy leaders with executing other human beings constantly  on their minds. Would you rather have Putin, Hussein, Iran's president, North koreas dictator?","I like President Bush,I don't agree with him 100%,ie,immigration and spending like a drunken sailor but we couldnt have had a better man in office for the war.He doesnt take any crap and he stands his grounds and he is an honest man.I wouldnt even want to think of what we would be like if Snore Gore or Fairy Kerry had been in office.GO USA."
9,Chicken pox?,Do people get them anymore? Hardly hear of anone getting them.\\n\\nHow do people get them in the first place?,"I got it last year, aged 25.\\nI'm not sure how i managed to get it. It's hard to tell since the incubation period takes up to 20 days :/"
5,"I have been getting this error any answers ? stop: 0x0000008E (0XEBF67794, 0XBF8018BC, 0XEBF6776C, 0X00000000?","also win32.sys-Address BF8018BC base at BF800000, datestamp 43446a58",try this \\n\\nhttp://support.microsoft.com/kb/315335
10,My 3rd question for democrats---?,"Since the democratic party is now basically a socialist party, and everything the democrats stand for is socialist reform, please answer the following:\\n\\nAre you willing to practice what you preach?  By that I mean, can i put each of you into a group with about 9 'under privelidged' people, where you all equally divide up your belongings?  Furthermore, will you be willing to do this every payday?\\n\\nOr are you a hypocrit?",I will. I think we should have a national healthcare system and give 50% of our paychecks to the government os they can feed the hungry and clothe the poor. that's the christian thing to do. of course oh right.... only the rebulicans are christians. NOT!!!!! *cough* hipocites *cough*
8,Do you like Janis Joplin?,,"Why yes I do. I can't wait until they finally makes this movie about her (they've been ""in the process"" for years!). I actually went to San Francisco and visited her old house a few blocks from Haight and Ashbury."
1,PLEASE ANSWER my QUESTION!!!!!!!!!!!!!!! :0) :0) :0)?,Can someone PLEASE tell me where to find auditions for Disney Channel. Probably Suite Life or Hannah Montanna.\\n(i know this doesn't have to do with religion but i thouht that this was a popular catigory) i REALLY need help to start my acting career!!!!!!!!   :0) ;0) :0) ;0) :0) ;0),ring mickey?
5,can anyone tell me where i can download the software for a canon i350 printer as ive lost mine?,,Here you go:\\nhttp://www.canon.com.au/products/printers/colour_bj_printers/i350_support.aspx\\n\\n///
4,"Is there any rectangular sphere, or a triangular square?",,If it were rectangular or triangular it wouldn't be a sphere.
5,Free DVD Ripper Software Reference?,Does anyone know where I can find a free DVD ripping software? A good one if possible!\\n\\nThanks,"Just in case nobody comes along with anything more specific, take a look at this Google query:\\n\\nhttp://www.google.com/search?q=DVD+Ripping&start=0&ie=utf-8&oe=utf-8&client=firefox-a&rls=org.mozilla:en-US:official"
6,Who do you think are the top two safeties in the NFL?,They don't have to be on the same team.,"Ed Reed is real good, and Rodney Harrison was good too. John Lynch is great too."
5,Do you know any free full version anti virus software which can clean all the viruses?,"I want a free full version anti virus software which can clean all the viruses (except avast anti virus because I found a virus named ""Broken.Exe cutable"" in a .dll file of avast anti virus)","Hi there,\\n\\nThe only other ""Free"" security software ather than Avast is AVG.  However, I would strongly recommend avoiding this as it is currently only protecting against 90% of known viruses (letting ONE IN TEN THROUGH!) as opposed to the circa 99.3% protected by other paid-for programs.  This also doesn't protect you against spyware, adware, keyloggers, rootkits, etc.\\n\\nMy recommendation would be Prevx1.  This is an all-in-one solution that will protect you against every type of malicious file/program and has the strongest protection and removal capabilities of all security programs available today.\\n\\nDownload the Free Trial of Prevx1 which will scan your PC and remove this and any other infections free of charge:\\nhttp://www.prevx.com\\n "
3,Would you happen to know what causes this?,"~~~for a couple of weeks now,,,I can literly hear the blood flowing like in my head,,,,Its like I can hear my heart beating within my ears,,,,would anyone know what would cause this?",do you hear people talking in your head? What else do you hear? \\nI would go to the Dr. you might have a yeast infection. \\nmaybe it is your guilt for not standing in line for the playstation 3 for your husband.
3,"In reference to caring for the elderly in the neighborhood, what is ""home house""?","This was a suggestion made by Medicare, when asked if a personal emergency response system cost was covered by medicare.  the ""house home"" method was recommended.",they're referring to life line and those type of sevices
8,"today is June 27, 06 what is the seventeen phrase of the day?",,well i dont know what you meen but if you are seventeen girl go to the mall  well that is if you got mony and friends
9,"Any ideas for wedding favours.I would like a""in memory"" theme for my future husbands mothher who passed away",,"I think to incorporate an ""in memory"" favor would be in poor taste.  I think the idea is very heartfelt and sincere, but not appropriate for a wedding favor.  The idea of a favor is to provide you guest with a memento from YOUR special day. I can understand why it is important to include her in some way, and I think it's important that you do. Have you considered acknowledging  her in another way?? Maybe a toast, special dance, or something like that?  Good luck."
5,MP3 Encoder?,"Please, does anyone know a software or a website that provides a free download for an mp3 encoder/decoder? thanx!","Audacity buddy.  Open Source, free, awesome.\\n\\nhttp://audacity.sourceforge.net/"
7,Does anyone know whether or not you can get a now BP gas card if you have lost your current one?,,"Yes.  Just call them up, and report your card as lost.  You should do this ASAP, so someone else doesn't use your card.  Once they cancel the old card, they will send you a new one."
6,what is the first man play the basketball?,,James Naismith invented the game back in the late 1800's or early 1900's.
3,what states carries good healthcare for children?,,Wisconsin has one of the best health care systems in the US and the further North and East you go the better it gets.
1,Taking Darwinism seriously leads consequently to Nazism or some ideology alike ?,,"No, no, no. What you are referring to is social Darwinism or eugenics, where people believe in the superiority of one race, and that this superiority justifies cruelty to other groups. Eugenics is largely discredited today. Evolutionary psychology goes to great lengths to distance itself from eugenics. Try the wikipedia page below for more information."
4,"What's the meaning of ""minute""(in meetings)?",,'insight' into proceedings.
10,how many terms has franklin rossevelt served usa.Which party was he in?,,"He was elected to four terms, however, he died a few months into his forth term. Therefore he was president for a little over 12 years. He was a democrat."
5,anyone knows website address for JB pirated dvd shop ??,,This is CID... I want you to call this no now... 999... LOL!
6,How should I warm up before stretching to get the splits?,"I take martial arts and need to get my splits down, so I've looked up some good tips around the internet.  They say I should warm up before I stretch so that I won't keep staying sore the next day.  But exactly how should I warm up?  I thought stretching was warming up!",I do martial arts as well and the easiest way to go would be to take a hot bath and directly after stretch your muscles as far as you can.\\nTheory here is that all your muscles will be heated up (not just the ones you try and warmp up through various stretching excersises).\\nIt does take a couple of weeks to go completely flat.\\nTry going down as far as you can and keep that position for as long as you can before getting up. the muscles have to become used to a stretched position.
4,genes produce instructions only for? a.regulating body processes b.making proteins c.builing body parts d.crea,,"Making proteins... \\n\\neach of the sequences of the nitrogen bases code for an amino acid (start studying codons and anticodons).. they come in series's of three.. for exampled.. adenine, gunanine, and thymine... code for a specific amino acid... and as you should know.. when amino acids are ""strung"" together.. they make protiens."
3,"after working out in the gym, do i shower at once or rest for a while?","some people say it's better to take a bath right after working out while your sweat is still coming out of your body, rather than resting for 10 minutes or so.",If I don't rest for a while my body is still creating a lot of heat and I start sweating again when I get out of the shower.
5,What kind of sciences' knowledge is needed for softwares makers?,,"There are two basic skills needed to create software.\\n\\n1) Knowledge of the platform and tools to develop and test the code\\n\\n2) Knowledge of the subject matter the application deals with.\\n\\nThis is true if you are writing an Accounting package on an IBM mainframe, a game for a PS2, or a utlity for MS Windows.\\n\\nIf we are talking high school, Geometry (specifically proofs) is a good yardstick to measure your ability to follow a process flow (1 above).  Also, most schools offer ""Business Computer Programming"" which is better for those wanting to write business applications (1 and 2 above), and ""Computer Science"" for those wanting to go the technical/scientific/mathemetical route.  In college, look in the Business Administration department if you want to write business apps (1 and 2 above), and check out Computer Science for other things (1 above).\\n\\nThe standard Sciences (Bioology, Physics, Chemistry, etc) are important in you are going to write applications in those areas (the part 2 above).  Also, if you want to write Engineering applications, get heavy into Physics and Math."
1,"According to the legend that Hannibal tells in Blade: Trinity, what did the Babylonians call Dracula?",,They called him Dagon.
8,Olympic Condoms?,"A man is out shopping and discovers a new brand of Olympic condoms. Clearly impressed, he buys a pack. Upon getting home, he announces to his wife the purchase he just made. \\n""Olympic condoms?"", she blurts, ""What makes them so special?"" \\n\\n""There are three colors,"" he replies, ""Gold, Silver and Bronze."" \\n\\n""What color are you going to wear tonight?"", she asks cheekily. \\n\\n""Gold of course,"" says the man proudly. \\n\\nThe wife responds, ""Why don't you wear Silver, it would be nice if you came second for a change!""",Bronze would be even better !
7,Why do firms want to create barriers to entry?,,"Firms need people that can do the job well & represent them in a ""good light"" to others.  Writing a question that really makes little sense would be an example."
9,Am i going to be back with jonathan and is he going to come see me when i get back home?,we broke up and he hasnt called in a while and he all of a suddened called me he was my frist true love should i wait or move on,"Why did you break up?\\n\\nA lot of times after you break up you remember all the good and forget about all the bad they did.  People rarely change.  I've had to learn that no matter how much you love someone, the bad never goes away, and you always will break up for the same stupid reasons.  Hence the ""we dated off and on again for 4 years"" statement people always use."
7,You seem to be a true renaissance man - Which of these areas is your main strength?,,"I wish I could say that I'm equally versed in all of them, but to tell you the truth I'm more of a 'jack of all trades'. I love to dabble with anything that catches my interest and always strive to try something new to expand my knowledge and understanding (and, of course, trying to have as much fun as possible along the way). \\n\\nMy background is fairly varied and straddles both development and design: I did two years of Computer Sciences (at the Swiss Federal Institute of Technology in Zurich), but found it far too academic and uninspiring. After working as an assistant for a professional photographer for a few months, I upped sticks, moved to the UK, and switched to a Graphic Design course, followed by a Masters in Creative Technology. \\n\\nIf I had to choose one of the areas that I'm most comfortable working in, I'd have to settle for photography. I've been shooting since I was about 16 years old, and I have, in the last few years, also started collecting older cameras (I've nearly completed my collection of all of Canon's A and F series). Despite my other interests in digital technology, I still prefer to use real film - mostly black and white. There is a certain quality to the analogue medium (such as black and white film's response to light, and the very natural looking grain you get at 400 ASA and above) and the 'craft' involved in manual shooting and working around film's limitations that I'm passionate about."
4,Did any of you ever learn how to spell?,"Because based upon the questions and answers here, very few of you did.","No, I have a natural gift for language."
5,email scanned photo to an email address?,,"You can do this by attaching the scan photo to email....\\nheres some info about attachments on yahoo on yahoo mail...\\n\\nAttaching Files\\nAn attachment is a file that you can include as part of your email message. You can attach all types of files to your message, including word processor or spreadsheet documents, audio files, image files (.bmp, .jpg., .gif, etc.), web pages saved as HTML files, and more. You can attach up to 50 files with a maximum message size of 10MB (20MB in Yahoo! Mail Plus). \\n\\nWhen someone receives your message with the attachment, he can open the file in the file's native application (the application in which the file was created). He can also save the file locally and, in many cases, can edit the local file. \\n\\nFile attachments provide an easy way to share any type of document. \\n\\nHere's How\\n\\n\\n1. Open Yahoo! Mail.\\n\\n2. Click the Compose button. \\n\\n3. Click the Attach Files button. (The Attach Files page appears)\\n\\n4. Click the first Browse button.\\n\\n5. Locate the file you want to attach, select it, and click the Open or OK button. The selected file and its location appear in the first attachment field.\\n\\n6. To attach more files, click the next Browse button, and repeat step 5.\\n\\n7. When all the files you want to send are listed, click the Attach Files button. \\n(Progress bars display the process of scanning and attaching each file. When the process is complete, a message confirms that the files were attached)\\n\\n8. Click the Continue to Message button. \\n\\nYou return to the Compose page with the attached files listed above the message area.\\n\\n9. then send the mail. \\n\\nin this way attachments are send with the mail....."
3,How come I don thave wet dreams?,I something wrong with me?,"The nightly wet-dream just is a normal event and for young guys mainly.\\nIn fact, during puberty and adolescence it is due to the hormones storm while later it just is the vivid fantasy and the hot dreams to let that event.\\nIt occurs in the night and precisely at the end of the sleep and in the REM phase of the sleep.\\nOn that time dream are more deep and unconscious, many erection occurs repetitively and during one of them, there could be a little ejaculation too. \\nWhen awake guys remember nothing about.\\nGrowing on and with a regular sexual life such occurrence decrease till to disappear.\\nThere’s no problem of course. Maybe you too got them during the night (with no emission), and you don’t remember that, or, on the contrary, your fantasy isn’t so vivid or you libido is very soft.... \\nOKAY??"
6,What do you think of the Boogeyman?,The WWE superstar.,"He's interesting, but gimmicks are starting to get out of hand.  They turn a good wrestler into a joke, and that wrestler loses credibility."
5,Who thinks windows 98se rocks and that windows xp sucks?,i loved windows 98se,"less reliable, but faster. XP is better because of new programs not compatible with 98"
2,Does anyone know what was the name of tennessee capital?,,"Nashville is the capital of the U.S. state of Tennessee. It is located on the Cumberland River in Davidson County in the north-central part of the state. Nashville is a major hub for the health care, music, publishing, and transportation industries.\\n\\nNashville's population stood at 575,261 as of 2005, according to United States Census Bureau estimates, making it the second-largest city in Tennessee (after Memphis). The 2005 population of the entire 13-county Nashville Metropolitan Statistical Area was 1,422,544, making it the largest and fastest-growing metropolitan area in the state-."
9,Will I find the person right from me?,"I am 16 years old and i know there will be plenty of time for love, but even though i have great friends and a wonderful family i feel the need for that something more...the extra hug and the little romantic text message. I'd just like that other relationship...",I have often fined my self  asking this question. will I fined true love will I fined the one with whom I’m meant to be? though I am alone now the answer is simple and clear love is out there its all around us in the air we breath the water we drink its an invisible force the binds the world and no mater who you are or what you do there is some one out there just waiting to fined you waiting to hold you in there arms to look in your eyes and say I love you. Yes you will fined your love I am as cretin of this as I am that some day it will come to me there is some one for every one though we may be lonely now we just need to wait hold in a little longer for you never know what waits for you behind that corner up ahead
5,from yesterday the quality of the photo and picture in all the website has lowered why?,,"Do you have some kind of web-accelerator software running?  If so, disable it."
4,my kid needs your help?,what happens when water is changed is changed to ice cubes....i say mollacules get closer ..she sayes partales get closer help,"Okay,\\nUnder normal conditions things contract (get smaller) when cooled and molecular motion slows down.\\nWater is an exception because of the behavior of of its molecules as they form ice crystals.\\nThe fully formed ice crystals take up more space than the liquid mloecules that originally formed them. this is why water expands as it freezes."
8,Did u like Leonardo de Caprio in The Titantic?,"Well, did u?",ooo yea!!! that movie and Catch me if you can are the only 2 movies I have ever liked of his
7,Why is implementation and termination (closing) stages considered a greatest worry?,"in terms of ""uncertainty"" early in a project’s life cycle.\\nIn project management.","Concepts can sound great on paper, but you don't know how well they'll actually do until they're implemented and finished."
10,Where can I find copies of my W2.?,,"W2s aren't available online. You should have received one from your employer by the end of January. If you did not or lost it and need a duplicate, contact the human resources department there."
9,Why do women (usually) never say what they want and never want what they say?,"It is usually women who do this, but I know that men are just as bad.  I've found a woman (colleague, nothing special) who said she wants a really sweet guy and all that.  She's now seeing some bad boy stoner.  Why do people do that?","People are trained from birth to feel that they are not worthy to have what they really want and that they are selfish if they go after it, so they tend to settle for what they think they deserve and live thier lives in misery.\\n\\nIt takes a lot of self confidence to say 'I want a great guy' and then turn down the guys who are not up to scratch. 'What if I really deserve a loser?' 'What if no great guy will have me or I never find him?'  is what people are thinking."
3,I am really thin and slim I want to imporove health become more fat what is the eaiest way ?,,"You have to eat at least 6 meals a day. Eat alot of protein and carbohydrates(including Rice,Potatoes, Bread, Beans). Also you might want to try drinking ENSURE PLUS, take 2 to 3 a day(specially in the morning and night before going to sleep). This helps you gain and maintain healthy weight. ! You can find this at a local drug store.This worked for me.........! !  \\n\\ngo to www.ensure.com\\n\\nGood Luck."
4,"Have you taken the Praxis II exam, did you find it difficult?  Do you have a teaching degree?",,"I've taken the Praxis II (and many others as I've moved several times and each state has different requirements).  The Praxis II is not the hardest one, but it wasn't the easiest.  It helped that I had taught in other places for 6 years prior to the test.  My suggestion -- read the test booklet carefully.  Consider purchasing a test prep book, but also reading from professional development materials will help with the test.  \\n\\n(Yes, I have a teaching degree.)"
4,(3x+2) raised to the 15th power?,pascal triangle,"Apply the ""Binomial theorem.""  Where, if you're using the formula: (x+y)^n then x=3x, y=2 and n=15.  Or you can make Pascal's triangle up to the 15th level, which is also annoying."
4,I want to study my lesson better >?,What am I do ? Please help me .,Get good rest the night before. Have something to eat before you leave for class. Eat a banana. (reccommendation by a teacher). Do some exercises before shower bath. Do try to pay attention in class. Make notes of anything you are not sure of and question your teacher.  Hope this helps. lol and God Bless you with great achievement.
3,How can i find  chat rooms about cancer and the familys that have to carry on?,My father has been diagnosed with terminal cancer. He is 48 and im 27...He has a 10 yr old son and an 8 yr old grandson...We are not ready for this but they say that he has about 6months to live...My family won't talk about it and I need to...,http://www.acscsn.org/Forum/Discussion/summary.html\\n\\nwww.breastcancer.org       this web site include chat\\n\\nwww.chatmag.com/topics/health/cancer.html\\n\\nwww.chatmag.com/listings/cancer.html\\n\\ni hope it's help u and Ur father recover in early time to come to his family
10,Engage Iran?,"When will we go on the offensive in Iran, our direct enemy?  \\n\\nWhy do we persist fighting defense in Iraq?",Ahmadinejad is profoundly nuts. It's only a matter of time.
6,do you know any wrestling gams and one with action?,,"the best wrestling game is widely considered to be WWF No Mercy. the gaming community recommend it. The new game out soon is said to have amazing graphics although the wrestlers get tied easily, but that makes it more realistic."
1,"Why is it that when one is different, quiet, and minding his/her own business, people pick on them?","Let me explain. I will use my life for example. When all the other kids were talking, playing, and having fun, I was reading, doing my work, and daydreaming. I can be a very quiet person to be around (only if you are a family member or a very close friend, will one see my talkative side, but even that can have limits.) Girls my age can talk for hours and hours on the phone or regularly, but me, if one puts me on the phone or just talks to me, the conversation may go like this: Hello, How are you, I'm fine! and then...  mean, I am not an eloquent person. When other peers my age are concerned with relationships, TV shows, sports, etc., I are usually concerned with world events, cultures, things like that. Now, I know that , being human, I am going to have some adversaries in life, but I have had more enemies than I deserve and often when I was done wrong, there were no friends to support me, no one to trust or rely on. I was just trying to mind my own business. Why the hate? Do You know?","Maybe they are trying to bring you down, to get you on their level. \\n\\nIf I were you, I would participate in school activities. People like people who get excited about the same things they are excited about. \\n\\nI know you want to be an introvert and curl into yourself, but you should peek out once in a while. People are sensitive and they may be resentful because you refuse to talk to them. They will think you are stuck up.* So, go to a football game, watch a TV show that they like. Show your peers that you care about their world, too.\\n\\n* Well, on the flip side, you can't do things just so people will like you. People can dislike people for no reason at all."
7,what is the crime rate of monroe county michigan?,,"Statistics presented are based on data collected by the FBI as part of its Uniform Crime Reporting Program. These data represent offenses reported to and arrests made by State and local law enforcement agencies as reported to the FBI. These data do not include Federal law enforcement activity. Additionally, not all law enforcement agencies consistently report offense and arrest data to the FBI. Users should refer to the Coverage Indicator for the proportion of the population covered by the agencies reporting to the FBI\\n\\nCrime Number (Estimate) \\nTotal 4,610 \\nMurder 6 \\nRape 74 \\nRobbery 64 \\nAggravated Assault 282 \\nBurglary 946 \\nLarceny - theft 2,799 \\nMotor vehicle thefts 383 \\nPopulation 144,661 \\nCoverage indicator 97% \\nData provided by the Federal Bureau of Investigation to the National Archive of Criminal Justice Data, University of Michigan \\n\\nPopulation statistics are based on data provided by the FBI and may differ from similar statistics reported by the Census Bureau. Population statistics generated by the FBI are used to calculate crime rates and to estimate the proportion of the population covered by the UCR program."
4,how can we read ripley's believe it or not on net?,,"Go to thier websites, but I dont think you can.  I think you have to view there things either on the tv show or on sight at the museums.  They make more money that way."
6,who was the brunette on shane huffmans pit box  with junor?,during the busch race.,Katie Muir
2,which planet has more moons?,mr,"Saturn with 7 major moons and an uncertain number of smaller ones.\\n\\nFrom Wikipedia:\\n""Saturn has a large number of moons. The precise figure will never be certain as the orbiting chunks of ice in Saturn's rings are all technically moons, and it is difficult to draw a distinction between a large ring particle and a tiny moon. Seven of the moons are massive enough to have collapsed into a spheroid under their own gravitation. These are compared to Earth's moon in the table below. Saturn's most noteworthy moon is Titan, the only moon in the solar system to have a dense atmosphere."""
4,what is the best  online college or home study course to become a veterinary technician?,please explain  if u have any links that be great . anyone exp in this field as vet tech email me at juicejuicy106@yahoo.com  or instant msg me on yahoo juicyjuice106,Try the American Veterinary Medical Association to see a list of accredited colleges that offer courses in vet technology.\\nwww.avma.org
8,what is the web site for guando seas a soap opra?,,http://www.alma-latina.net/CuandoSeasMia/CuandoSeasMia.shtml
6,Why do running backs and recievers in the NFL dance around like litle girls  after scoring a touchdown?,,Clearly you've never seen little girls dance around.\\n\\n\\nThey have much more style and flair than NFL players.
10,"i don't understand,why do you hate G.Bush so much?",,"1. He killed so many innocent people.\\n2. He's corrupted (Iraq rebuild contracts)\\n3. He's a bigot (forget Rice, she's just a modern days salve)\\n4. He's an idiot\\n5. He's not trustable (he broke the Kyoto agreement)\\n6. He's the wrong guy in the wrong place (Katrina and more..)\\nI can go for ever.."
